CRN,ARRIVAL_TM,AUTOMOBILE_COUNT,BELTED_DEATH_COUNT,BELTED_SUSP_SERIOUS_INJ_COUNT,BICYCLE_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,CHLDPAS_DEATH_COUNT,CHLDPAS_SUSP_SERIOUS_INJ_COUNT,COLLISION_TYPE,COMM_VEH_COUNT,CONS_ZONE_SPD_LIM,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,DEC_LAT,DEC_LONG,DISPATCH_TM,DISTRICT,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,EST_HRS_CLOSED,FATAL_COUNT,HEAVY_TRUCK_COUNT,HORSE_BUGGY_COUNT,HOUR_OF_DAY,ILLUMINATION,INJURY_COUNT,INTERSECT_TYPE,INTERSECTION_RELATED,LANE_CLOSED,LATITUDE,LN_CLOSE_DIR,LOCATION_TYPE,LONGITUDE,MAX_SEVERITY_LEVEL,MCYCLE_DEATH_COUNT,MCYCLE_SUSP_SERIOUS_INJ_COUNT,MOTORCYCLE_COUNT,MUNICIPALITY,NONMOTR_COUNT,NONMOTR_DEATH_COUNT,NONMOTR_SUSP_SERIOUS_INJ_COUNT,NTFY_HIWY_MAINT,PED_COUNT,PED_DEATH_COUNT,PED_SUSP_SERIOUS_INJ_COUNT,PERSON_COUNT,POLICE_AGCY,POSSIBLE_INJ_COUNT,RDWY_SURF_TYPE_CD,RELATION_TO_ROAD,ROAD_CONDITION,ROADWAY_CLEARED,SCH_BUS_IND,SCH_ZONE_IND,SECONDARY_CRASH,SMALL_TRUCK_COUNT,SPEC_JURIS_CD,SUSP_MINOR_INJ_COUNT,SUSP_SERIOUS_INJ_COUNT,SUV_COUNT,TCD_FUNC_CD,TCD_TYPE,TFC_DETOUR_IND,TIME_OF_DAY,TOT_INJ_COUNT,TOTAL_UNITS,UNB_DEATH_COUNT,UNB_SUSP_SERIOUS_INJ_COUNT,UNBELTED_OCC_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,URBAN_AREA,URBAN_RURAL,VAN_COUNT,VEHICLE_COUNT,WEATHER1,WEATHER2,WORK_ZONE_IND,WORK_ZONE_LOC,WORK_ZONE_TYPE,WORKERS_PRES,WZ_CLOSE_DETOUR,WZ_FLAGGER,WZ_LAW_OFFCR_IND,WZ_LN_CLOSURE,WZ_MOVING,WZ_OTHER,WZ_SHLDER_MDN,WZ_WORKERS_INJ_KILLED
2022072621,1701.0,0,0,0,0,0,0,0,0,0,8,0,,67,8,2022,3,39.9969,-75.1127,1700.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,16,1,1,2,,0,39 59:48.793,,1,75 06:45.867,2,0,0,0,67301,1,0,1,N,1,0,1,2,67301,0,,1,1,,N,N,N,1,,0,1,0,0,0,,1659,1,2,0,0,0,0,0,3,4,0,1,3,3.0,N,,,,,,,,,,,
2022072622,2300.0,1,0,0,0,0,0,0,0,0,4,0,,67,8,2022,6,40.0133,-75.0974,2300.0,6,0,0,0,0,0,1,0,0,,0,0,0.0,20,3,0,1,,0,40 00:47.892,,0,75 05:50.775,0,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,,1,1,,N,N,N,1,,0,0,0,3,3,,2030,0,2,0,0,0,0,0,3,4,0,2,3,3.0,N,,,,,,,,,,,
2022073659,1454.0,1,0,0,0,0,0,0,0,0,1,0,,67,8,2022,5,39.9076,-75.1436,1454.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,14,1,0,0,N,0,39 54:27.230,,3,75 08:36.820,0,0,0,0,67301,0,0,0,N,0,0,0,3,67501,0,,1,1,,N,N,N,0,,0,0,1,3,8,,1452,0,2,0,0,1,0,0,3,4,0,2,3,3.0,N,,,,,,,,,,,
2022072298,1710.0,0,0,0,0,0,0,0,0,0,8,0,,67,8,2022,3,40.0097,-75.1747,1705.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,13,1,1,0,N,0,40 00:34.990,,7,75 10:28.830,2,0,0,0,67301,1,0,1,N,1,0,1,2,67301,0,,1,1,,N,N,N,0,,0,1,1,0,0,,1347,1,2,0,0,0,0,0,3,4,0,1,3,3.0,N,,,,,,,,,,,
2022074185,827.0,1,0,0,0,0,0,0,0,0,4,0,,67,8,2022,7,39.9625,-75.2162,824.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,8,1,2,1,,0,39 57:44.928,,0,75 12:58.374,3,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,,1,1,,N,N,N,0,,2,0,1,3,2,,822,2,2,0,0,0,0,0,3,4,0,2,3,3.0,N,,,,,,,,,,,
2022078753,35.0,0,0,0,0,0,0,0,0,0,0,0,,67,8,2022,1,39.9698,-75.1315,30.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,0,3,1,0,N,0,39 58:11.137,,0,75 07:53.309,3,0,0,1,67301,0,0,0,N,0,0,0,1,67301,0,,1,1,,N,N,N,0,,1,0,0,3,2,,8,1,1,0,0,0,0,0,3,4,0,1,3,3.0,N,,,,,,,,,,,
2022079397,1031.0,0,0,0,0,0,0,0,0,0,4,0,,67,8,2022,7,40.1234,-75.0155,1031.0,6,0,0,0,0,0,0,1,0,,0,0,0.0,10,1,1,0,N,0,40 07:24.377,,7,75 00:55.888,8,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,,1,1,,N,N,Y,0,,0,0,2,0,0,,1030,1,2,0,0,0,1,0,3,4,0,2,3,,N,,,,,,,,,,,
2022080537,1014.0,0,0,0,0,0,0,0,0,0,2,0,,67,8,2022,3,40.0573,-75.1407,1014.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,7,1,1,1,,9,40 03:26.402,,0,75 08:26.444,8,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,,1,1,,N,N,N,0,,0,0,1,3,3,,724,1,2,0,0,0,1,1,3,4,1,2,3,,N,,,,,,,,,,,
2022070434,1435.0,1,0,0,0,0,0,0,0,0,4,0,,67,7,2022,7,39.9975,-75.1694,1433.0,6,0,0,0,0,0,0,1,0,,0,0,0.0,14,1,1,1,,2,39 59:50.985,3.0,0,75 10:09.782,3,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,,1,1,45.0,N,N,N,1,,1,0,0,3,3,Y,1430,1,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
2022069749,725.0,0,0,0,0,0,0,0,0,0,7,0,,67,7,2022,7,39.9988,-75.156,721.0,6,0,0,0,0,0,1,0,0,,0,0,0.0,7,5,1,2,,0,39 59:55.776,,0,75 09:21.641,3,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,,5,1,,N,N,N,0,,1,0,1,3,3,,700,1,1,0,0,0,0,0,3,4,0,1,3,3.0,N,,,,,,,,,,,
