CRN,ARRIVAL_TM,AUTOMOBILE_COUNT,BELTED_DEATH_COUNT,BELTED_SUSP_SERIOUS_INJ_COUNT,BICYCLE_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,CHLDPAS_DEATH_COUNT,CHLDPAS_SUSP_SERIOUS_INJ_COUNT,COLLISION_TYPE,COMM_VEH_COUNT,CONS_ZONE_SPD_LIM,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,DEC_LAT,DEC_LONG,DISPATCH_TM,DISTRICT,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,EST_HRS_CLOSED,FATAL_COUNT,HEAVY_TRUCK_COUNT,HORSE_BUGGY_COUNT,HOUR_OF_DAY,ILLUMINATION,INJURY_COUNT,INTERSECT_TYPE,INTERSECTION_RELATED,LANE_CLOSED,LATITUDE,LN_CLOSE_DIR,LOCATION_TYPE,LONGITUDE,MAX_SEVERITY_LEVEL,MCYCLE_DEATH_COUNT,MCYCLE_SUSP_SERIOUS_INJ_COUNT,MOTORCYCLE_COUNT,MUNICIPALITY,NONMOTR_COUNT,NONMOTR_DEATH_COUNT,NONMOTR_SUSP_SERIOUS_INJ_COUNT,NTFY_HIWY_MAINT,PED_COUNT,PED_DEATH_COUNT,PED_SUSP_SERIOUS_INJ_COUNT,PERSON_COUNT,POLICE_AGCY,POSSIBLE_INJ_COUNT,RDWY_SURF_TYPE_CD,RELATION_TO_ROAD,ROAD_CONDITION,ROADWAY_CLEARED,SCH_BUS_IND,SCH_ZONE_IND,SECONDARY_CRASH,SMALL_TRUCK_COUNT,SPEC_JURIS_CD,SUSP_MINOR_INJ_COUNT,SUSP_SERIOUS_INJ_COUNT,SUV_COUNT,TCD_FUNC_CD,TCD_TYPE,TFC_DETOUR_IND,TIME_OF_DAY,TOT_INJ_COUNT,TOTAL_UNITS,UNB_DEATH_COUNT,UNB_SUSP_SERIOUS_INJ_COUNT,UNBELTED_OCC_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,URBAN_AREA,URBAN_RURAL,VAN_COUNT,VEHICLE_COUNT,WEATHER1,WEATHER2,WORK_ZONE_IND,WORK_ZONE_LOC,WORK_ZONE_TYPE,WORKERS_PRES,WZ_CLOSE_DETOUR,WZ_FLAGGER,WZ_LAW_OFFCR_IND,WZ_LN_CLOSURE,WZ_MOVING,WZ_OTHER,WZ_SHLDER_MDN,WZ_WORKERS_INJ_KILLED
2021030542,125.0,1,0,0,0,0,0,0,0,0,5,0,,67,4,2021,6,40.0075,-75.2011,123.0,6,0,0,0,0,0,0,1,0,,0,0,0,1,3,4,0,N,1,40 00:27.037,3.0,0,75 12:04.014,3,0,0,0,67301,0,0,0,N,0,0,0,4,68K01,0,,1,1,140.0,N,N,N,0,,4,0,1,0,0,N,117,4,2,0,0,0,0,0,3,4,0,2,3,,N,,,,,,,,,,,
2021014683,2252.0,1,0,0,0,0,0,0,1,0,4,0,,67,2,2021,5,40.0363,-75.0643,2250.0,6,0,0,0,0,0,0,0,0,,1,0,0,22,3,2,1,N,2,40 02:10.729,6.0,0,75 03:51.497,1,0,0,0,67301,0,0,0,N,0,0,0,5,67301,1,2.0,1,1,300.0,N,N,N,0,0.0,0,1,1,3,2,Y,2249,2,2,0,0,0,0,1,3,4,0,2,3,3.0,N,,,,,,,,,,,
2021030785,646.0,1,0,0,0,0,0,0,0,0,4,1,,67,3,2021,2,40.0305,-75.1182,639.0,6,0,0,0,0,0,1,0,0,,0,1,0,6,1,3,1,,0,40 01:49.943,,0,75 07:05.511,3,0,0,0,67301,0,0,0,N,0,0,0,4,67301,0,,1,1,,N,N,N,0,,3,0,0,3,2,,630,3,2,0,0,0,0,0,3,4,0,2,3,3.0,N,,,,,,,,,,,
2021030786,2311.0,2,0,0,0,0,0,0,0,0,4,0,,67,4,2021,7,40.0271,-75.1314,2311.0,6,0,0,0,0,0,0,0,0,,0,0,0,23,3,1,0,N,0,40 01:37.710,,0,75 07:52.920,3,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,,1,1,,N,N,N,0,,1,0,0,0,0,,2311,1,2,0,0,0,0,0,3,4,0,2,3,3.0,N,,,,,,,,,,,
2021031963,241.0,1,0,0,0,0,0,0,0,0,4,0,,67,4,2021,4,39.9911,-75.1144,241.0,6,0,0,0,0,0,0,0,0,,0,0,0,2,3,0,0,N,0,39 59:27.817,,0,75 06:51.838,0,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,,1,1,,N,N,N,0,,0,0,2,0,0,,238,0,3,0,0,2,0,0,3,4,0,3,3,,N,,,,,,,,,,,
2021030655,2230.0,1,0,0,0,0,0,0,0,0,4,0,,67,4,2021,7,39.9317,-75.168,2228.0,6,0,0,0,0,0,0,0,0,,0,0,0,22,3,3,0,N,1,39 55:54.039,1.0,0,75 10:04.926,8,0,0,0,67301,0,0,0,N,0,0,0,5,67505,0,,1,1,2310.0,N,Y,N,0,,0,0,1,0,0,N,2227,3,2,0,0,0,3,0,3,4,0,2,3,,N,,,,,,,,,,,
2021031964,212.0,1,0,0,0,0,0,0,0,0,7,0,,67,4,2021,5,39.9717,-75.126,208.0,6,0,0,0,0,0,0,0,0,,0,0,0,2,3,1,0,N,0,39 58:18.047,,0,75 07:33.583,3,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,,1,1,,N,N,N,0,,1,0,0,0,0,,206,1,1,0,0,0,0,0,3,4,0,1,3,3.0,N,,,,,,,,,,,
2021030723,12.0,1,0,0,0,0,0,0,0,0,6,0,,67,4,2021,6,39.9959,-75.1093,7.0,6,0,0,0,0,0,0,0,0,,0,0,0,22,3,0,0,N,0,39 59:45.350,,0,75 06:33.600,0,0,0,0,67301,0,0,0,N,0,0,0,0,67301,0,,1,1,,N,N,N,0,,0,0,1,0,0,,2255,0,2,0,0,0,0,0,3,4,0,2,3,3.0,N,,,,,,,,,,,
2021031767,1500.0,2,0,0,0,0,0,0,0,0,4,0,,67,4,2021,2,40.0204,-75.1401,1500.0,6,0,0,0,0,0,0,0,0,,0,0,0,15,1,2,1,,0,40 01:13.432,,0,75 08:24.370,3,0,0,0,67301,0,0,0,N,0,0,0,4,67301,0,,1,1,,N,N,N,0,,2,0,0,3,3,,1500,2,2,0,0,2,0,0,3,4,0,2,3,3.0,N,,,,,,,,,,,
2021016533,1205.0,0,0,0,0,0,0,0,0,0,7,1,,67,2,2021,2,40.0412,-75.0046,1158.0,6,0,0,0,0,0,0,0,0,,0,1,0,11,1,0,0,N,1,40 02:28.314,1.0,0,75 00:16.471,0,0,0,0,67301,0,0,0,Y,0,0,0,1,68K01,0,,3,6,1305.0,N,N,N,0,,0,0,0,0,0,N,1157,0,1,0,0,0,0,0,3,4,0,1,10,,N,,,,,,,,,,,
