CRN,ARRIVAL_TM,AUTOMOBILE_COUNT,BELTED_DEATH_COUNT,BELTED_SUSP_SERIOUS_INJ_COUNT,BICYCLE_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,CHLDPAS_DEATH_COUNT,CHLDPAS_SUSP_SERIOUS_INJ_COUNT,COLLISION_TYPE,COMM_VEH_COUNT,CONS_ZONE_SPD_LIM,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,DEC_LAT,DEC_LONG,DISPATCH_TM,DISTRICT,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,EST_HRS_CLOSED,FATAL_COUNT,HEAVY_TRUCK_COUNT,HORSE_BUGGY_COUNT,HOUR_OF_DAY,ILLUMINATION,INJURY_COUNT,INTERSECT_TYPE,INTERSECTION_RELATED,LANE_CLOSED,LATITUDE,LN_CLOSE_DIR,LOCATION_TYPE,LONGITUDE,MAX_SEVERITY_LEVEL,MCYCLE_DEATH_COUNT,MCYCLE_SUSP_SERIOUS_INJ_COUNT,MOTORCYCLE_COUNT,MUNICIPALITY,NONMOTR_COUNT,NONMOTR_DEATH_COUNT,NONMOTR_SUSP_SERIOUS_INJ_COUNT,NTFY_HIWY_MAINT,PED_COUNT,PED_DEATH_COUNT,PED_SUSP_SERIOUS_INJ_COUNT,PERSON_COUNT,POLICE_AGCY,POSSIBLE_INJ_COUNT,RDWY_SURF_TYPE_CD,RELATION_TO_ROAD,ROAD_CONDITION,ROADWAY_CLEARED,SCH_BUS_IND,SCH_ZONE_IND,SECONDARY_CRASH,SMALL_TRUCK_COUNT,SPEC_JURIS_CD,SUSP_MINOR_INJ_COUNT,SUSP_SERIOUS_INJ_COUNT,SUV_COUNT,TCD_FUNC_CD,TCD_TYPE,TFC_DETOUR_IND,TIME_OF_DAY,TOT_INJ_COUNT,TOTAL_UNITS,UNB_DEATH_COUNT,UNB_SUSP_SERIOUS_INJ_COUNT,UNBELTED_OCC_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,URBAN_AREA,URBAN_RURAL,VAN_COUNT,VEHICLE_COUNT,WEATHER1,WEATHER2,WORK_ZONE_IND,WORK_ZONE_LOC,WORK_ZONE_TYPE,WORKERS_PRES,WZ_CLOSE_DETOUR,WZ_FLAGGER,WZ_LAW_OFFCR_IND,WZ_LN_CLOSURE,WZ_MOVING,WZ_OTHER,WZ_SHLDER_MDN,WZ_WORKERS_INJ_KILLED
2020036588,1349.0,1,0,0,0,0,0,0,0,0,1,0,,67,3,2020,2,39.9601,-75.1794,1343.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,13,1,0,0,,1,39 57:36.245,4.0,0,75 10:45.819,0,0,0,0,67301,0,0,0,N,0,0,0,3,68K01,0,,1,9,,N,N,,1,,0,0,0,0,0,N,1332,0,2,0,0,0,0,0,3,4,0,2,7,,N,,,,,,,,,,,
2020036617,1842.0,1,0,0,0,0,0,0,0,0,7,0,,67,4,2020,1,39.9809,-75.2065,1840.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,18,1,0,0,,1,39 58:51.367,3.0,0,75 12:23.366,0,0,0,0,67301,0,0,0,N,0,0,0,1,68K01,0,,2,9,,N,N,,0,,0,0,0,0,0,N,1838,0,1,0,0,0,0,0,3,4,0,1,7,7.0,N,,,,,,,,,,,
2020035717,2000.0,1,0,0,0,0,0,0,0,0,2,0,,67,4,2020,1,39.9269,-75.1691,2000.0,6,0,0,0,0,0,1,0,0,,0,0,0.0,14,1,1,1,,9,39 55:36.660,,0,75 10:08.677,3,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,,1,9,,N,N,,0,,1,0,1,3,3,U,1457,1,2,0,0,0,0,0,3,4,0,2,7,4.0,N,,,,,,,,,,,
2020034378,1139.0,2,0,0,0,0,0,0,0,0,1,0,,67,4,2020,4,39.9237,-75.1924,1131.0,6,0,0,0,0,0,2,0,0,,0,0,0.0,11,1,1,0,,0,39 55:25.183,,0,75 11:32.758,3,0,0,0,67301,0,0,0,N,0,0,0,3,68K01,0,,1,1,,N,N,,1,,1,0,0,0,0,,1128,1,3,0,0,0,0,0,3,4,0,3,3,,N,,,,,,,,,,,
2020025511,345.0,1,0,0,0,0,0,0,0,0,7,0,,67,3,2020,1,39.8826,-75.245,329.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,3,3,2,0,,0,39 52:57.717,,0,75 14:41.931,3,0,0,0,67301,0,0,0,Y,0,0,0,2,68K01,0,,4,1,,N,N,,0,,2,0,0,0,0,,328,2,1,0,0,0,0,0,3,4,0,1,3,3.0,N,,,,,,,,,,,
2020024135,1113.0,1,0,0,0,0,0,1,0,0,4,1,,67,3,2020,6,39.9836,-75.247,1112.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,11,1,0,1,,0,39 59:00.913,,0,75 14:49.652,0,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,,1,9,,N,N,,0,,0,0,0,3,2,,1112,0,2,0,0,0,0,0,3,4,0,2,7,4.0,N,,,,,,,,,,,
2020034572,2232.0,1,0,0,0,0,0,0,0,0,1,0,,67,4,2020,4,39.9788,-75.2032,2227.0,6,0,0,0,0,0,1,0,0,,0,0,0.0,22,3,2,0,,2,39 58:43.656,3.0,0,75 12:11.574,4,0,0,0,67301,0,0,0,N,0,0,0,4,68K01,1,,1,1,,N,N,,1,,0,0,1,0,0,N,2223,2,3,0,0,0,1,0,3,4,0,3,3,,N,,,,,,,,,,,
2020035021,1255.0,1,0,0,0,0,0,1,0,0,4,1,,67,3,2020,2,39.97,-75.1631,1250.0,6,0,0,0,0,0,1,0,0,,0,0,0.0,12,1,2,1,,0,39 58:11.995,,0,75 09:47.193,8,0,0,0,67301,0,0,0,N,0,0,0,4,67508,0,,1,1,,N,N,,0,,0,0,0,3,3,N,1250,2,2,0,0,0,2,1,3,4,0,2,3,,N,,,,,,,,,,,
2020035652,1324.0,0,0,0,0,0,0,1,0,0,8,1,,67,4,2020,5,39.9914,-75.1225,1320.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,13,1,1,5,,0,39 59:29.212,,0,75 07:21.025,2,0,0,0,67301,1,0,1,N,1,0,1,2,67301,0,,1,1,,N,N,,0,,0,1,0,3,2,,1310,1,2,0,0,0,0,0,3,4,0,1,3,,N,,,,,,,,,,,
2020034781,1000.0,2,0,0,0,0,0,0,0,0,2,0,,67,4,2020,6,40.0662,-74.984,950.0,6,0,0,0,0,0,0,0,0,,0,0,0.0,9,1,1,0,,0,40 03:58.260,,0,74 59:02.290,8,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,,5,9,,N,N,,0,,0,0,0,0,0,,950,1,2,0,0,1,1,0,3,4,0,2,7,,N,,,,,,,,,,,
